	depth	depth_group_50	depth_group_100	depth_zone	true_lat	region	sal	temp
S0440_32M	32	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0380_33M	33	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0231_33.2M	33.2	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	24-26.9
PSE_93_35M	33.8	0-50	0-100	EPI	S_ITCZ	POS	34.0-34.5	15-17.9
ANE_004_40M	38.7	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	15-17.9
S0057_38.9M	38.9	0-50	0-100	EPI	N_ITCZ	AON	37.5-38.0	24-26.9
S0122_39.4M	39.4	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	21-23.9
S0130_39.6M	39.6	0-50	0-100	EPI	N_ITCZ	AON	35.5-36.0	21-23.9
S0090_39.7M	39.7	0-50	0-100	EPI	N_ITCZ	AON	37.0-37.5	24-26.9
ANE_150_40M	39.8	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0105_40.1M	40.1	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	24-26.9
ASE_68_50M	40.3	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	15-17.9
S0491_40.7M	40.7	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	15-17.9
S0450_40.8M	40.8	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	15-17.9
PSW_128_40M	41.3	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	24-26.9
ASW_82_40M	41.7	0-50	0-100	EPI	S_ITCZ	AOS	34.0-34.5	6.0-8.9
S0082_41.8M	41.8	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	24-26.9
S0467_42.2M	41.8	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
PON_137_40M	42.2	0-50	0-100	EPI	N_ITCZ	PON	34.0-34.5	18-20.9
PSE_102_40M	44.2	0-50	0-100	EPI	S_ITCZ	POS	34.5-35.0	18-20.9
PON_133_45M	45.7	0-50	0-100	EPI	N_ITCZ	PON	33.0-33.5	12-14.9
S0374_48M	47.2	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0098_48.1M	48	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	24-26.9
S0318_48.6M	48.1	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
PSE_110_50M	48.6	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	21-23.9
S0285_48.9M	48.7	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0009_49M	48.9	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0177_49M	49	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	21-23.9
S0188_49M	49	0-50	0-100	EPI	S_ITCZ	AOS	36.5-37.0	24-26.9
S0190_49M	49	0-50	0-100	EPI	S_ITCZ	AOS	37.0-37.5	27-29.9
S0192_49M	49	0-50	0-100	EPI	S_ITCZ	AOS	37.0-37.5	27-29.9
S0210_49M	49	0-50	0-100	EPI	S_ITCZ	AOS	33.0-33.5	9.0-11.9
S0342_49M	49	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0396_49M	49	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0401_49M	49	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
